Enlem,Boylam,Mahalle,Adres,Ortalama_Duraklama_Saniye,Toplam_Duraklama_Saniye,Kayit_Sayisi,Farkli_Arac_Sayisi,Yakit_Kaybi_Litre,Maliyet_Kaybi_TL,Verimsizlik_Skoru
40.203620916666665,28.953081166666667,Üçevler Mh.,"Ahıska Cd., Üçevler Mh., Nilüfer, Bursa, Türkiye",7.75,93,12,6,0.065,2.92,2.3
40.27252033333333,28.97103086666667,Yenikent Mh.,"2. Gündoğdu Sk., Yenikent Mh., Osmangazi, Bursa, Türkiye",3.2666666666666666,49,15,6,0.034,1.53,2.3
40.19012253333334,28.93141693333333,Alaaddinbey Mh.,"Nilüfer Belediyesi Temizlik İşleri Müdürlüğü, 542. Sk., Alaaddinbey Mh., Nilüfer, Bursa, Türkiye",2.8666666666666667,43,15,6,0.03,1.35,2.3
40.265176833333335,28.971201166666663,Yenikent Mh.,"Kent Katı Atık Depolama Tesisi, Yenikent Mh., Osmangazi, Bursa, Türkiye",6.166666666666667,37,6,6,0.026,1.17,2.3
40.2019664,28.948427199999998,Üçevler Mh.,"Beşevler Sanayi Sitesi, Ahıska Cd., Üçevler Mh., Nilüfer, Bursa, Türkiye",7.5,75,10,6,0.052,2.34,2.3
40.202182,28.949114200000004,Üçevler Mh.,"Beşevler Sanayi Sitesi, Ahıska Cd., Üçevler Mh., Nilüfer, Bursa, Türkiye",7.1,71,10,6,0.05,2.25,2.3
40.21129911111112,28.95268655555556,Üçevler Mh.,"Ahıska Cd., Üçevler Mh., Nilüfer, Bursa, Türkiye",5.0,45,9,6,0.032,1.44,2.3
40.21847733333333,28.91481288888889,Ertuğrul Mh.,"Özlüce Blv., Ertuğrul Mh., Nilüfer, Bursa, Türkiye",6.666666666666667,60,9,6,0.042,1.89,2.3
40.21921922222222,28.914605333333334,29 Ekim Mh.,"Özlüce Blv., 29 Ekim Mh., Nilüfer, Bursa, Türkiye",6.666666666666667,60,9,6,0.042,1.89,2.3
40.21981561538462,28.95261076923077,Ataevler Mh.,"Türkiye İş Bankası ATM - Ata Bulvarı, Ata Blv., Ataevler Mh., Nilüfer, Bursa, Türkiye",6.461538461538462,84,13,6,0.059,2.66,2.3
40.18810633333334,28.929475222222223,Alaaddinbey Mh.,"Ahıska Cd., Alaaddinbey Mh., Nilüfer, Bursa, Türkiye",8.11111111111111,73,9,6,0.051,2.3,2.3
40.20132535714286,28.94731064285714,Üçevler Mh.,"Ahıska Cd., Üçevler Mh., Nilüfer, Bursa, Türkiye",4.785714285714286,67,14,6,0.047,2.12,2.3
